Cleaned_Comments,Theme
so a man who can never know the pain of carrying and delivering a child under normal circumstances thinks hes the best person to make this kind of decision ken paxton can threaten legal action against this family her doctors or anyone who is qualified to make the best decision under this awful heart breaking situation will ken paxton be charged with legal action if any of the horrible outcomes happen to this mom and her family what about this families pain and suffering,ethical
"if its 2nd class citizenship for women how come so many women are antiabortion seems to me its mainly women who protest against abortion  indeed its well known that  its those evil men who are always wanting their wivesgirlfriendsmistresses to have abortions but i guess its just another sign of the pure evil that men are that they simultaneously want women to have abortions but also want to prevent them from having them

exactly how dumb can feminists be

and btw ladies having to obey a law you dont like doesnt make you 2nd class citizens stop talking tripe",social
christianity has never treated women equally,social
maybe that judge doesnt know the difference between hypocrisy  hypocratic oath  do no harm,ethical
i wonder where paxton got his medical degree,legal
"remember the results of the one child law in china no girls were born shortage of women chinese men are literally kidnapping foreign brides 
womens health care controlled by the government or men

get ready for limited benefits population decline increase in human trafficking  and women moving out of texas",social
republicans finally got their death panels,political
all women in texas and across america need to vote democrat otherwise youre going to have an old republican politician in your bedroom telling you what you can and cannot do with your own body  its always the republicans who are taking your rights away not the democrats  vote blue and show these big government zealots who is really in charge,political
bigger than any genocide in history,social
handmaids tale here we come,social
"welcom to gilead ladies
no selfrespecting woman should vote republican",political
enough of these people they are using adolf hitler handbook to a tee hitler told german women it was their duty as women to have babies and expand the german population hitler then had these houses set up in all the cities where young german women did nothing but fornicate all day german soldiers were told it was their job to go to these houses to increase the population of the aryan people how ironic that he wanted this master race and he didnt fit into it these women would get pregnant go to hospital to deliver baby and back to work she had no further contact with the child there were hundreds of babies like this baby factories the babies were raised by older women who were not allowed to give affection or love or human contact these little babies actually held on to each other for comfort in cramped cribs cold rooms and groomed to be aryan human baby robots disgraceful and inhumane,social
ever since they took roevwade away i knew this and many more cases would happenwe as women need to fight and fight hard for our daughtersgranddaughtersfor women period we need to bring back roevwade now i live in the idiotic red state of ohioi worry about my daughtersi cannot believe this is happening in 2023 we are going backwardsevery women in this country needs to stand up and fight for our rights,legal
the blood is on the hands of texas voters,political
mika thank you for your impassioned presentations and reporting also your dress is lovely,ethical
republicans would have no problem if the husband or a family member brought a lawsuit against the doctor and or the hospital if the mother died of complications due to this inhumane law the party of the right to life yeah right,legal
what is it that a doctors oath to do no harm not trump all of this political bs pun intended,ethical
wheres all the women in texas they are okay with these maga cult people omg,social
texas is disgusting with banana republicans in charge vote blue,political
magas dont care about women its about dominance and control,social
time to get out of texass,political
ag is practicing medicine without a license isnt that a crime state if not federal,legal
it is way past second class treatment its moved into turning women into chattel,social
dont we have more important legal issues to attend to other than killing woman by denying medical needs,legal
unbelievable  what century are we in seriously,social
remember the alamo it was about texas and  its glorious heroic founders wanting to keep  owning  slaves now 180 years later theyre willing to settle for just the women  as the underclass,social
you all remember when obama was trying to pass aca the republicans had ads that said aca would lead to death panels well guess who has death panels fox entertainment and all those other conservative so called news outlets are feeding their viewers a bunch of propaganda or not reporting on issues that directly affect their constituents i did just read that this family ended up leaving the state to get an abortion how much you want to make a bet she and her husband are going to get arrested when they get back to texas this country is turning into a dictatorship and i know we hear vote vote vote but even when we do vote republicans lie and cheat look what happened in ohio voted to make abortion legal and the republicans are refusing to accept the vote of the people voting isnt working when republicans go rogue,political
2nd class no they have been prohibited from their right to  citizenship the 16th amendment needs to be brought in to protect women,legal
"the party of freedom and dont tread on me  the gubmint should stay out of parenting  wants to force people to have kids they dont co parent with the government they scream its all hypocrisy and lies judges in womens uterus  freedom in texas

ken paxton is under federal indictment and has been since 2015 8 years no trial 8 years",political
if pregnant women die from these decisions who will be blamed or charged with her murder do red states even collect stats from hospitals,legal
hand maidens tale comes to life,ethical
these women are the 1s that voted for these idiots s nobody needs to complain about anything,social
a history class for americans cronus ate his children  passed it on to the woman the facts on domestic abuse,social
i used to be prolife and though i reject the idea that you must be prolife or prochoice and will never consider myself prochoice i can definitely not consider myself prolife after this,ethical
please america it is time to get republican politicians out of medical decisions  this is insanity,political
this is what evil looks like,ethical
its a difficult one but you cannot continue pretending that her current pregnancy is a thing or tissue and not a human life stop pretending that thing is nothing that can be aborted like a butcher aborts a cow,ethical
she should just go to canada and get the abortion,social
when are we going to wake up and stop the biblethumping mouthbreathers from shoving us back 500 years,legal
only your fleas will morn you ken mr mcbitchums paxton,ethical
and republicans wonder why they keep losing,political
women should stop getting pregnant period or get out of texas,social
its all about controlling women by spiteful men  vote blue,political
when you fail to vote or vote further away from your road then accept what can be called gods punishment for not doing your duty this abortion issue couldve been avoided but here we are,political
flush twice its a long way to texas,political
i dont care what the bible or the quran have to say about healthcare a bunch of ancient sandpeople in the middle east who only lived until the age of 35 i dont give a crap what they have to say about 21st century healthcare,ethical
this is why its unequal and a harship this is the main reason an unbiased sc would rule for abortion,ethical
if you cant vote these monsters out of office in texas then vote with your feet move and dont stop until you reach a state that protects freedoms instead of taking them away that goes for voting rights as well,political
no no no you said possible but also possible the baby and her will be fine might might might bet the baby would like a choice to,legal
only if you think killing babies is legal without a good reason as her doctor recommended,ethical
we should demand men to get vasectomy,legal
this is exactly what they want women barefoot and pregnant ignorant underpaid under appreciated if a man had to go through what we go tjrough there would be rioting,social
theres no hate like christian love ,social
cattle have more rights in texass than women do,legal
this is reprehensible id leave the state for good if i could s he should be allowed to have the procedureshe shouldnt have to be forced to carry this childshes already grieving a lossget politicians out of womens reproduction health,legal
gop likes quuck power grabs  womens bodies first on the list,political
ken paxton is a bully to do this to a woman,legal
republican maga witch trials of 2023 never to be forgotten,legal
texas where an ar15 has more rights than a female vote blue while you still canthese christo fascists are just getting started,political
the so called pro life movement is the biggest fraud perpetuated on society with the exception of the trump presidency,social
will antiabortionists ever get the message,ethical
im so happy that i dont live in the us especially texas and i am not woman but this is insane,social
clearly controlling women is what is important in texas because if texas really cared about getting babies born then the future children of this woman would be important and they are not texas is bakcward why would any woman want to live there texas women need to hit the streets in protest and stay there until the legislature changes this backward thinking,social
pure misogyny pretty soon the rule of thumb will be back,social
pro lifers congrats you voted for this,political
republicans are pro birth not pro life,political
this will cost the republican party any election in 2024,political
texas republiklans take a special pride in their bigotry misogyny and cruelty and they get away with it because less than half of their eligible citizens bother to vote,political
the womans life is in danger so much for the 2nd ammendment,legal
and when the people of ohio voted to put abortion rights in their constitution the government shot back by saying nope and attempting to not sure if they were successful take power away from the judges and put it only in the hands of the politicians the gop isnt going to let something as silly as people exercising their rights and voting stop them,political
vote ignorant republicans out and dont replace them with another ignorant republican vote blue in 2024,political
"are texian people that cruelty and too dump to question their bs evangelists and their redneck politicians
hope their wives daughters sisters nieces mistresses and churchladies would not have to go out of states or secretly doing abortions in the basements of some pastors houses or just rise up and fight for your rights to be safe and healthy instead of  just spreading their legs for those thugs to make you pregnant",social
texas  where the guns have more legal protection then the women,legal
this kind of deciduous from republican officials will incite a civil unrest between political parties,political
family values guy with a mistress for years  hypocrisy yet again  i wonder if ken arranged an abortion for his mistress or any other woman from his past,ethical
the entire texas legislature is worth s  but many women in texas are just as bad in their religious stand  i knowi live here,social
look up logan carroll the miracle baby god is powerful and it is in his will this baby has a soul and thus within gods providence,ethical
say whatever you want theres nothing ok with that situation nothing it can happen to all women and whats next vote the fascist gop out ,social
im soooo tired of the fascist gop im extremely sick and tired of them yet some including women entertain the idea of trumpism 20 foh,social
aaaaahhhhh  is this the usa in december 2023  its good to be danish,social
i could of sworn republicans hate big govment telling them what they can  cannot do but i guess that was just another bs talking point,political
paxton needs to go to prison for the attenpted murder of ms cox,legal
fanatic loosers abortion is necessary is many cases there are exceptions this is not good,legal
"birth slavery _is_ slavery
vote blue for abolition and send the confederacy packing",political
"this guy makes my slapping hand itch  
soon hell be making women wear arm bands with c u next tuesday printed on them ",social
the handmaids tale was not meant to be an instructional manual,ethical
"red states you get what you voted for or didnt vote at all

you choose to live in a red state with evangelical local state pilgrim laws

lifelong democrat here my sympathy for you people has run out

vote blue or move out of your pilgrim state

no more sympathy here",political
the fed gov biden admin pointed out a law that says hospitals and doctors must save a pregnant womans life emtala ken paxton sued the fed gov to prevent this act from being applied in tx he doesnt want to save womens lives,legal
abandon texas as texas has abandoned its women,social
if pro lifers really cared about life then they would care about the mother,ethical
texans voted for all these white nationalist republican to run them what do you expect,political
kenneth paxton bravo to your crowning achievement,legal
vote all republicans out or accept your place in the handmaids tale,political
"thanks a lot texas  you could have pushed this criminal pos out of office last month but because you dont have spines or balls enough to go against a bigger criminal pos tfg this is what you get
i sure hope texans and the entire country is paying attention  you think this is bad  put tfg and his sycophants back in office next year and watch as this becomes only the first in a long list of rights that get taken away from us  
and i mean all of us  not just the libs
do you think paxton cares if this couple voted for tfg or not  
of course he doesnt care  you just emboldened another criminal monster in this country to become even more of a monster    congratulations",political
oh this is easy women your uterus belongs to old white men in the goverment ask permission because they love it smh,legal
klansman ken has got to go,social
older whyt uneducatedabout medicine whyt men shouldnt be making medical decisions about a womens choices ,legal
but dumb women keep voting for reps so its their own fault,political
the texas supreme court should wait to make their ruling until after cox does whatever shes going to do this sends texas lower courts that have democrat judges a message do not give permission to women seeking to preempt tx law and it gives democrat women the message to not seek to preempt the tx laws cox should go outside the state to california if she wants to murder her unborn baby the tx supreme court can afterward make their ruling in favor of the tx law and the message will be reinforced,legal
texas vote these people out its really simple,political
"why are lawyers and judges making medical decisions   remember during the healthcare debates when republicans were talking about death panels  well here we are  i guess the next step is for the doctors and all the support staff to also get the judges permission  then the postop staff and her husband and children should also get permission to help with recovery lest they be prosecuted for helping   

its a republic  if you can keep it 
as benjamin franklin said",legal
edwards syndrome has no treatment and is usually fatal before birth or within the first year of life so they want the potential baby to develop and suffer before it inevitably dies imagine the mental gymnastics it would take to justify that,ethical
ken paxton was just reelected how many times do these republican women need to say paxton is speaking for us paxton is doing exactly what they want they will never push back against him,political
prepare for more authoritarian rule if the dumpsters get back in this is but the beginning of what theyll do to our collective freedoms,political
exceptional evil with nothing but religious overture for cover hey ken paxton how much do you hate women i guess we know now ken paxton the world is in shock and disbelief at your cruelty,ethical
whoever is putting these politicians in office is putting womens lives at risk and if this lady dies you have blood on your hands its her body its her choice,ethical
glad she is suing also hope she comes to an adjoining state and get the abortion legally to save her own life,legal
they dont care cruelty is the point vote blue for women,ethical
the members of the court should be indicted for practicing medicine without a license,legal
yet texas will continue to elect republicans,political
we the people need to vote out every single republicanespecially in texas,political
thats awesome that the decision should be in each state however when republican legislatures refuse to bring it to a vote and worse when it does get brought to a vote and they refuse to honor the peoples decision thats when a national law is needed time for the men to get behind the women of this country and actually help,political
this is medieval sht i wouldnt treat a dog like this let alone a woman gop are sick and draconian,ethical
"dont believe maga republicans when they say that there will be exceptions to anti abortion laws  
this is just the beginning of their attack on human rights",political
pro abortionists are the worst kind of racists  they hate all races of unborn children,social
she begged the ruling men and promises to follow the government mandate better next time this is our new republican party,political
remember you staunch conservatives when you went to a girls father and bought a wife the good old days right  not,political
viagra is 87 cent  handmaids tale  johnson  is moses to  trumplandia ,social
"for a country who keeps claiming to be the best country in the world u guys sure keep trying to prove otherwise and to this scandinavian ur thoroughly succeeding
u guys truly are extraordinary when it comes to continually electing politicians who will rob u blind take away ur rights and generally leave u in miserable lives that we europeans would find totally unacceptable and then u whine in astonishment about how government isnt working gee maybe u should look in the mirror to see why coz when electing these ppl isnt the bug but the feature through decades then u cant keep blaming the politicians its on u guys for continuing to elect them",social
i need an explanation of a legal term regarding this situation i heard elsewhere that ken paxton has said that this woman does not have standing to bring this case i recently looked up the legal term standing and it essentially means that this woman doesnt have a dog in this fight which means that she cant bring her suit because shes not personally involved in it i also read that during the last womens group equal means equal  wonderful group btw to take the ratification of the equal rights amendment and fight to the supreme court to have it entered into the us constitution because they had collected the necessary number of signed petitions in the us supreme court one of the judges i think it was john 838 roberts also said the womans group didnt have standing can someone from the legal community preferably a woman joyce vance or the other woman here please explain to me how a pregnant woman carrying a fetus that will die either before or after birth or a womans group which was founded for the express purpose of getting the equal rights amendment put into the us constitution does not have standing in the law i dont understand how either woman or group would not have standing in a legal case that pertains fully and completely to them and they are implicitly and absolutely personally involved in these cases can anyone please explain that to me thank you if someone does because it makes absolutely no sense to me,legal
george carlin was right these people are anti woman not pro life,social
republicans attempt at trying to stay relevant because their cult leader lost in 2020 this is the only way they keep themselves in the spotlight a woman will die because of these laws,social
this is just barbaric the corrupt texas ag is just a devil in the flesh but the people who are voting for republican are guilty as well shame on all people who voting republican,political
"paxton a criminal who was exonerated by his criminal cronies decides over life and death
the us particularly texas have reached an all time low christian white supremacists are
a scourge on society they are really cruel and inhuman only interested in forcing their cultism
and beliefs of something that is unproven and absurd on others technically and scientifically
the world has advanced morally these people are stuck in a time zone where practically 
everyone was ignorant and uneducated and believed anything that clever conmen said to them
billions are grifted by clever conmen in the us in the name of religion",ethical
sue paxton for medical malpractice without a medical license,legal
opine paxton is poster child for americanized christian version of taliban,ethical
they dont care in texas,social
i hope paxton just thru away his governor chances this was a wanted child that became unviable  a danger to the mother how dare you step in these parents have cried unknown tears about this but you felt  you should get in the way shame on you paxton,political
republican government in the lives of families and women making life altering decisions for them,political
a law makerinforcer without a medical degree uses his biblical opinion to enforce his belief on all others outside of his beliefs,legal
how stupid can you be  to be a woman  that lives in texas and vote for republicans,political
every woman needs to remember this event come 2024 this is the republican agendanationally,social
this is a clear and painful example of the misogynistic agenda of the magagop,social
wow the government has complete control of womens bodies,social
that should be a womens right thats just crazy,social
these texas pro life are sick people they have no mercy for saving this lady live,ethical
this is sickening  the criminal paxton keeps committing crimes when will it stop  the bully that runs texas,political
"get rid of all these religious morons
save american womens rights
vote blue",social
"please dont call these people christians they are the gentiles and these are their last days as with the right of an abortion there is nothing in the bible denying it actually a wise man once wrote
and i declared that the dead who had already died are happier than the living who are still alive but better than both is the one who has never been born who has not seen the evil that man has done under the sun
the sad thing is the great false religion the murderers of our lord and million of true followers hijacked our faith and created their religion of man they never gave a crap about abortion until 1869 when it was prohibited by the so called catholic canon law but again what more do you expect from the gentiles",ethical
having ken paxtons making a decision of medical needsighhhh a corrupted political official telling a woman doctor and  medical support staff he knows more about human body cause hes a gop shady as heck political members  and now since hes has his law degree he knows reproductive and oby carethis is where a medical persons hippocratic oath should over ride a lawyers false  wanna be medical ideology,political
the very same party that is against women getting abortion i believe are also wanting to make a move to ban contraception  they cacre so much that a woman must carry every baby to be to term and deliver said baby  yet where are they on affordable childcare  etc  once the child is born they dont care it is no longer the governments   the states responsibility,political
soowhat she has to be on her death bed to have the abortion like really the ag is not medically qualified if anything happens to this women her discrepancy is on their hands,ethical
file through the ags background see what boils,political
paxton should be in jail what a hypocrite,political
if i was rich id fly her to a state where she can get one without a problem first class and pay all her bills texas may as well admit that it wants no exceptions,ethical
apparently ken paxton and the tx supreme court have decided she cant receive the abortion that ms cox and her doctors have determined is medically needed ,legal
this is what it looks like when fascists rule and the people obey,social
this is what voting republican,political
no american citizens of the female gender should be voting republican,political
what would happen if this woman were to die  who would be to blame  shouldnt a woman who has two young children have the ability and the right to healthcare in 2023  it would seem that children already born and facing their mother dying because she cant get the healthcare she needs is ok with texas lawmakers  it is nonviable fetuses they want to keep alive for a few hours days weeks regardless how that affects the woman  who cares right  women in texas have fewer rights that a pregnant animal who needs medical help  all you need to do there is make an appointment and the surgery will be performed without lawyers without judges without delays and without government interference and their lack of any medical knowledge whatsoever  surgeries are even available if its an emergency  to save both mother and offspring  if possible  imagine that,legal
if something serious happens to this woman there will be women marching in the streets until next november no matter what the gop tries to do  my wife and daughters will stop the streets of our nation from moving anything and will make the just stop oil protests look like a tea party,social
show up to vote people stop complaining democracy and freedom can only survive if we vote out the maga extremist  we can not let trump into office he will go after our freedom to vote next,political
this ruling was placed on hold by the allmale texas supreme court sickening,legal
maternal doctors should leave texaslets see how republican women deal with it i want them to spend hundreds of dollars traveling to another state for anything dealing with pregnancy,legal
